trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
198,False,"{'a': 0.5, 'e': 0.26737143634537386}",30,13,20.187996200901537,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.2661977743219902}",20,7,21.710704636641978,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.2650274005334812}",20,0,-86.15124634604088,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
201,False,"{'a': 0.5, 'e': 0.26386032215835203}",20,2,-19.093753630511657,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
202,False,"{'a': 0.5, 'e': 0.26269654621644073}",30,12,28.4913715648392,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.2615360795693643}",20,11,-26.576336295995958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.26037892892097797}",30,6,-93.77441577494676,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 2}",1
205,False,"{'a': 0.5, 'e': 0.259225100817846}",25,0,4.252407724469805,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.2580746016497258}",30,16,3.503807951386192,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.2569274376500629}",20,4,8.32498958097458,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.25578361489649876}",20,0,11.372584408421053,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
209,False,"{'a': 0.5, 'e': 0.25464313931138977}",20,14,-13.839110698229778,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.2535060166623378}",20,2,1.9110970412862458,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.25237225256273255}",20,10,16.3014095316484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.25124185247230446}",25,12,19.48989811191782,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.25011482169768945}",25,13,20.086935535497798,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.24899116539300367}",20,2,-31.58031365203192,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.2478708885604298}",30,18,-6.4521398042785325,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.24675399605081336}",20,14,10.609439507935804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.24564049256426926}",20,14,8.46643942273577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.24453038265079943}",20,6,-29.295457542654603,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
219,False,"{'a': 0.5, 'e': 0.24342367071091936}",20,5,11.237835771580514,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.24232036099629511}",20,0,26.195056904628316,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.24122045761039027}",20,15,-2.848885599311405,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.24012396450912174}",20,12,-1.8093475954006935,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.23903088550152543}",25,19,10.06088849981097,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.23794122425043068}",25,17,15.384845807498811,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.23685498427314458}",20,9,14.633845061599743,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.23577216894214378}",25,20,11.359499896531124,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.23469278148577621}",20,2,-4.660138750832598,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.23361682498897077}",30,0,-41.771311698443085,"{0: 25, 1: 3, 2: 0, 3: 1, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.23254430239395518}",35,20,-4.9331823918827595,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.23147521650098238}",20,13,1.155425699913493,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.2304095699690648}",25,0,-21.861354606911696,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
232,False,"{'a': 0.5, 'e': 0.22934736531671648}",20,0,14.783360033892258,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.22828860492270261}",20,2,19.764672133691775,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.22723329102679693}",20,10,4.081837215411451,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.2261814257305462}",20,0,-3.440786042315838,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.225133010998042}",20,13,-20.77651247719122,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.22408804865669948}",25,13,6.6355868371064135,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.2230465403980427}",25,13,-9.435543733096239,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.22200848777849708}",20,0,20.621779512534648,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
240,False,"{'a': 0.5, 'e': 0.22097389222018782}",25,13,21.778087033914126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.21994275501174526}",25,8,-56.42791837512927,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
242,False,"{'a': 0.5, 'e': 0.21891507730911577}",20,11,0.15116743914250508,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.2178908601363792}",20,9,-14.697565884237259,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.2168701043865717}",20,0,3.8207955207847553,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
245,False,"{'a': 0.5, 'e': 0.21585281082251456}",20,3,16.76962840449546,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.2148389800776485}",30,0,-52.926270118458085,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
247,False,"{'a': 0.5, 'e': 0.21382861265687314}",25,0,-18.190605824654533,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.21282170893739177}",20,8,-51.47720840223077,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
